ktotal,kBell,kGHZ,TotalRate,TotalRateBell,TotalRateGHZ
10,2,6,0.525996289864077,0.112212030571856,0.413784259292221
10,2,7,0.525996289864077,0.112212030571856,0.413784259292221
10,2,8,0.525996289864077,0.112212030571856,0.413784259292221
10,3,0,0.112212030571856,0.112212030571856,0
10,3,1,0.112212030571856,0.112212030571856,0
10,3,2,0.112212030571856,0.112212030571856,0
10,3,3,0.112212030571856,0.112212030571856,0
10,3,4,0.112212030571856,0.112212030571856,0
10,3,5,0.112212030571856,0.112212030571856,0
10,3,6,0.525996289864077,0.112212030571856,0.413784259292221
10,3,7,0.525996289864077,0.112212030571856,0.413784259292221
10,4,0,0.434847128499401,0.434847128499401,0
10,4,1,0.434847128499401,0.434847128499401,0
10,4,2,0.434847128499401,0.434847128499401,0
10,4,3,0.434847128499401,0.434847128499401,0
10,4,4,0.434847128499401,0.434847128499401,0
10,4,5,0.434847128499401,0.434847128499401,0
10,4,6,0.848631387791622,0.434847128499401,0.413784259292221
10,5,0,0.434847128499401,0.434847128499401,0
10,5,1,0.434847128499401,0.434847128499401,0
10,5,2,0.434847128499401,0.434847128499401,0
10,5,3,0.434847128499401,0.434847128499401,0
10,5,4,0.434847128499401,0.434847128499401,0
10,5,5,0.434847128499401,0.434847128499401,0
10,6,0,0.861863222316126,0.861863222316126,0
10,6,1,0.861863222316126,0.861863222316126,0
10,6,2,0.861863222316126,0.861863222316126,0
10,6,3,0.861863222316126,0.861863222316126,0
10,6,4,0.861863222316126,0.861863222316126,0
10,7,0,0.861863222316126,0.861863222316126,0
10,7,1,0.861863222316126,0.861863222316126,0
10,7,2,0.861863222316126,0.861863222316126,0
10,7,3,0.861863222316126,0.861863222316126,0
10,8,0,1.24959077397682,1.24959077397682,0
10,8,1,1.24959077397682,1.24959077397682,0
10,8,2,1.24959077397682,1.24959077397682,0
10,9,0,1.24959077397682,1.24959077397682,0
10,9,1,1.24959077397682,1.24959077397682,0
10,10,0,1.65355223080624,1.65355223080624,0
11,0,0,0,0,0
11,0,1,0,0,0
11,0,2,0,0,0
11,0,3,0,0,0
11,0,4,0,0,0
11,0,5,0,0,0
11,0,6,0.413784259292221,0,0.413784259292221
11,0,7,0.413784259292221,0,0.413784259292221
11,0,8,0.413784259292221,0,0.413784259292221
11,0,9,0.727596856209078,0,0.727596856209078
11,0,10,0.727596856209078,0,0.727596856209078
11,0,11,0.727596856209078,0,0.727596856209078
11,1,0,0,0,0
11,1,1,0,0,0
11,1,2,0,0,0
11,1,3,0,0,0
11,1,4,0,0,0
11,1,5,0,0,0
11,1,6,0.413784259292221,0,0.413784259292221
11,1,7,0.413784259292221,0,0.413784259292221
11,1,8,0.413784259292221,0,0.413784259292221
11,1,9,0.727596856209078,0,0.727596856209078
11,1,10,0.727596856209078,0,0.727596856209078
11,2,0,0.112212030571856,0.112212030571856,0
11,2,1,0.112212030571856,0.112212030571856,0
11,2,2,0.112212030571856,0.112212030571856,0
11,2,3,0.112212030571856,0.112212030571856,0
11,2,4,0.112212030571856,0.112212030571856,0
11,2,5,0.112212030571856,0.112212030571856,0
11,2,6,0.525996289864077,0.112212030571856,0.413784259292221
11,2,7,0.525996289864077,0.112212030571856,0.413784259292221
11,2,8,0.525996289864077,0.112212030571856,0.413784259292221
11,2,9,0.839808886780933,0.112212030571856,0.727596856209078
11,3,0,0.112212030571856,0.112212030571856,0
11,3,1,0.112212030571856,0.112212030571856,0
11,3,2,0.112212030571856,0.112212030571856,0
11,3,3,0.112212030571856,0.112212030571856,0
11,3,4,0.112212030571856,0.112212030571856,0
11,3,5,0.112212030571856,0.112212030571856,0
11,3,6,0.525996289864077,0.112212030571856,0.413784259292221
11,3,7,0.525996289864077,0.112212030571856,0.413784259292221
11,3,8,0.525996289864077,0.112212030571856,0.413784259292221
11,4,0,0.434847128499401,0.434847128499401,0
11,4,1,0.434847128499401,0.434847128499401,0
11,4,2,0.434847128499401,0.434847128499401,0
11,4,3,0.434847128499401,0.434847128499401,0
11,4,4,0.434847128499401,0.434847128499401,0
11,4,5,0.434847128499401,0.434847128499401,0
11,4,6,0.848631387791622,0.434847128499401,0.413784259292221
11,4,7,0.848631387791622,0.434847128499401,0.413784259292221
11,5,0,0.434847128499401,0.434847128499401,0
11,5,1,0.434847128499401,0.434847128499401,0
11,5,2,0.434847128499401,0.434847128499401,0
11,5,3,0.434847128499401,0.434847128499401,0
11,5,4,0.434847128499401,0.434847128499401,0
11,5,5,0.434847128499401,0.434847128499401,0
11,5,6,0.848631387791622,0.434847128499401,0.413784259292221
11,6,0,0.861863222316126,0.861863222316126,0
11,6,1,0.861863222316126,0.861863222316126,0
11,6,2,0.861863222316126,0.861863222316126,0
11,6,3,0.861863222316126,0.861863222316126,0
11,6,4,0.861863222316126,0.861863222316126,0
