kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
15,10,5,2,2,0.539237315876634,0.104965717735598,0.434271598141036
15,11,4,2,2,0.539237315876634,0.104965717735598,0.434271598141036
15,12,3,3,1,0.550687942307245,0.437841411086494,0.112846531220752
15,13,2,3,1,0.550687942307245,0.437841411086494,0.112846531220752
15,14,1,3,0,0.437841411086494,0.437841411086494,0
15,15,0,3,0,0.437841411086494,0.437841411086494,0
16,0,16,0,8,2.93556582824475,0,2.93556582824475
16,1,15,0,7,2.51924949209035,0,2.51924949209035
16,2,14,0,7,2.51924949209035,0,2.51924949209035
16,3,13,0,6,2.09119609319971,0,2.09119609319971
16,4,12,1,6,2.09119609319971,0,2.09119609319971
16,5,11,1,5,1.65075133374235,0,1.65075133374235
16,6,10,1,5,1.65075133374235,0,1.65075133374235
16,7,9,1,4,1.24839079551871,0,1.24839079551871
16,8,8,2,4,1.35335651325431,0.104965717735598,1.24839079551871
16,9,7,2,3,0.968726262366991,0.104965717735598,0.863760544631394
16,10,6,2,3,0.968726262366991,0.104965717735598,0.863760544631394
16,11,5,2,2,0.539237315876634,0.104965717735598,0.434271598141036
16,12,4,3,2,0.87211300922753,0.437841411086494,0.434271598141036
16,13,3,3,1,0.550687942307245,0.437841411086494,0.112846531220752
16,14,2,3,1,0.550687942307245,0.437841411086494,0.112846531220752
16,15,1,3,0,0.437841411086494,0.437841411086494,0
16,16,0,4,0,0.662067582927986,0.662067582927986,0
17,0,17,0,8,2.93556582824475,0,2.93556582824475
17,1,16,0,8,2.93556582824475,0,2.93556582824475
17,2,15,0,7,2.51924949209035,0,2.51924949209035
17,3,14,0,7,2.51924949209035,0,2.51924949209035
17,4,13,1,6,2.09119609319971,0,2.09119609319971
17,5,12,1,6,2.09119609319971,0,2.09119609319971
17,6,11,1,5,1.65075133374235,0,1.65075133374235
17,7,10,1,5,1.65075133374235,0,1.65075133374235
17,8,9,2,4,1.35335651325431,0.104965717735598,1.24839079551871
17,9,8,2,4,1.35335651325431,0.104965717735598,1.24839079551871
17,10,7,2,3,0.968726262366991,0.104965717735598,0.863760544631394
17,11,6,2,3,0.968726262366991,0.104965717735598,0.863760544631394
17,12,5,3,2,0.87211300922753,0.437841411086494,0.434271598141036
17,13,4,3,2,0.87211300922753,0.437841411086494,0.434271598141036
17,14,3,3,1,0.550687942307245,0.437841411086494,0.112846531220752
17,15,2,3,1,0.550687942307245,0.437841411086494,0.112846531220752
17,16,1,4,0,0.662067582927986,0.662067582927986,0
17,17,0,4,0,0.662067582927986,0.662067582927986,0
18,0,18,0,9,3.36444709406648,0,3.36444709406648
18,1,17,0,8,2.93556582824475,0,2.93556582824475
18,2,16,0,8,2.93556582824475,0,2.93556582824475
18,3,15,0,7,2.51924949209035,0,2.51924949209035
18,4,14,1,7,2.51924949209035,0,2.51924949209035
18,5,13,1,6,2.09119609319971,0,2.09119609319971
18,6,12,1,6,2.09119609319971,0,2.09119609319971
18,7,11,1,5,1.65075133374235,0,1.65075133374235
18,8,10,2,5,1.75571705147794,0.104965717735598,1.65075133374235
18,9,9,2,4,1.35335651325431,0.104965717735598,1.24839079551871
18,10,8,2,4,1.35335651325431,0.104965717735598,1.24839079551871
18,11,7,2,3,0.968726262366991,0.104965717735598,0.863760544631394
18,12,6,3,3,1.30160195571789,0.437841411086494,0.863760544631394
18,13,5,3,2,0.87211300922753,0.437841411086494,0.434271598141036
18,14,4,3,2,0.87211300922753,0.437841411086494,0.434271598141036
18,15,3,3,1,0.550687942307245,0.437841411086494,0.112846531220752
18,16,2,4,1,0.774914114148737,0.662067582927986,0.112846531220752
18,17,1,4,0,0.662067582927986,0.662067582927986,0
18,18,0,4,0,0.662067582927986,0.662067582927986,0
19,0,19,0,9,3.36444709406648,0,3.36444709406648
19,1,18,0,9,3.36444709406648,0,3.36444709406648
19,2,17,0,8,2.93556582824475,0,2.93556582824475
19,3,16,0,8,2.93556582824475,0,2.93556582824475
19,4,15,1,7,2.51924949209035,0,2.51924949209035
19,5,14,1,7,2.51924949209035,0,2.51924949209035
19,6,13,1,6,2.09119609319971,0,2.09119609319971
19,7,12,1,6,2.09119609319971,0,2.09119609319971
19,8,11,2,5,1.75571705147794,0.104965717735598,1.65075133374235
19,9,10,2,5,1.75571705147794,0.104965717735598,1.65075133374235
19,10,9,2,4,1.35335651325431,0.104965717735598,1.24839079551871
19,11,8,2,4,1.35335651325431,0.104965717735598,1.24839079551871
19,12,7,3,3,1.30160195571789,0.437841411086494,0.863760544631394
19,13,6,3,3,1.30160195571789,0.437841411086494,0.863760544631394
19,14,5,3,2,0.87211300922753,0.437841411086494,0.434271598141036
19,15,4,3,2,0.87211300922753,0.437841411086494,0.434271598141036
19,16,3,4,1,0.774914114148737,0.662067582927986,0.112846531220752
19,17,2,4,1,0.774914114148737,0.662067582927986,0.112846531220752
19,18,1,4,0,0.662067582927986,0.662067582927986,0
19,19,0,4,0,0.662067582927986,0.662067582927986,0
20,0,20,0,10,3.80590490351194,0,3.80590490351194
20,1,19,0,9,3.36444709406648,0,3.36444709406648
20,2,18,0,9,3.36444709406648,0,3.36444709406648
20,3,17,0,8,2.93556582824475,0,2.93556582824475
20,4,16,1,8,2.93556582824475,0,2.93556582824475
20,5,15,1,7,2.51924949209035,0,2.51924949209035
20,6,14,1,7,2.51924949209035,0,2.51924949209035
20,7,13,1,6,2.09119609319971,0,2.09119609319971
20,8,12,2,6,2.19616181093531,0.104965717735598,2.09119609319971
20,9,11,2,5,1.75571705147794,0.104965717735598,1.65075133374235
20,10,10,2,5,1.75571705147794,0.104965717735598,1.65075133374235
20,11,9,2,4,1.35335651325431,0.104965717735598,1.24839079551871
20,12,8,3,4,1.6862322066052,0.437841411086494,1.24839079551871
20,13,7,3,3,1.30160195571789,0.437841411086494,0.863760544631394
