kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
25,3,22,0,11,4.22561736954987,0,4.22561736954987
25,4,21,1,10,3.80855917134873,0,3.80855917134873
25,5,20,1,10,3.80855917134873,0,3.80855917134873
25,6,19,1,9,3.36256679821114,0,3.36256679821114
25,7,18,1,9,3.36256679821114,0,3.36256679821114
25,8,17,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
25,9,16,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
25,10,15,2,7,2.61815164601979,0.0984880965553853,2.5196635494644
25,11,14,2,7,2.61815164601979,0.0984880965553853,2.5196635494644
25,12,13,3,6,2.52505362865568,0.431371675175746,2.09368195347993
25,13,12,3,6,2.52505362865568,0.431371675175746,2.09368195347993
25,14,11,3,5,2.08098281530313,0.431371675175746,1.64961114012738
25,15,10,3,5,2.08098281530313,0.431371675175746,1.64961114012738
25,16,9,4,4,1.8969332307145,0.649172084018365,1.24776114669613
25,17,8,4,4,1.8969332307145,0.649172084018365,1.24776114669613
25,18,7,4,3,1.51335886708555,0.649172084018365,0.864186783067182
25,19,6,4,3,1.51335886708555,0.649172084018365,0.864186783067182
25,20,5,5,2,1.43429744101894,0.999551874271552,0.434745566747388
25,21,4,5,2,1.43429744101894,0.999551874271552,0.434745566747388
25,22,3,5,1,1.11199272670721,0.999551874271552,0.112440852435657
25,23,2,5,1,1.11199272670721,0.999551874271552,0.112440852435657
25,24,1,6,0,1.25587978604929,1.25587978604929,0
25,25,0,6,0,1.25587978604929,1.25587978604929,0
26,0,26,0,13,5.0867497947711,0,5.0867497947711
26,1,25,0,12,4.65370960450788,0,4.65370960450788
26,2,24,0,12,4.65370960450788,0,4.65370960450788
26,3,23,0,11,4.22561736954987,0,4.22561736954987
26,4,22,1,11,4.22561736954987,0,4.22561736954987
26,5,21,1,10,3.80855917134873,0,3.80855917134873
26,6,20,1,10,3.80855917134873,0,3.80855917134873
26,7,19,1,9,3.36256679821114,0,3.36256679821114
26,8,18,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
26,9,17,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
26,10,16,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
26,11,15,2,7,2.61815164601979,0.0984880965553853,2.5196635494644
26,12,14,3,7,2.95103522464015,0.431371675175746,2.5196635494644
26,13,13,3,6,2.52505362865568,0.431371675175746,2.09368195347993
26,14,12,3,6,2.52505362865568,0.431371675175746,2.09368195347993
26,15,11,3,5,2.08098281530313,0.431371675175746,1.64961114012738
26,16,10,4,5,2.29878322414575,0.649172084018365,1.64961114012738
26,17,9,4,4,1.8969332307145,0.649172084018365,1.24776114669613
26,18,8,4,4,1.8969332307145,0.649172084018365,1.24776114669613
26,19,7,4,3,1.51335886708555,0.649172084018365,0.864186783067182
26,20,6,5,3,1.86373865733873,0.999551874271552,0.864186783067182
26,21,5,5,2,1.43429744101894,0.999551874271552,0.434745566747388
26,22,4,5,2,1.43429744101894,0.999551874271552,0.434745566747388
26,23,3,5,1,1.11199272670721,0.999551874271552,0.112440852435657
26,24,2,6,1,1.36832063848494,1.25587978604929,0.112440852435657
26,25,1,6,0,1.25587978604929,1.25587978604929,0
26,26,0,6,0,1.25587978604929,1.25587978604929,0
27,0,27,0,13,5.0867497947711,0,5.0867497947711
27,1,26,0,13,5.0867497947711,0,5.0867497947711
27,2,25,0,12,4.65370960450788,0,4.65370960450788
27,3,24,0,12,4.65370960450788,0,4.65370960450788
27,4,23,1,11,4.22561736954987,0,4.22561736954987
27,5,22,1,11,4.22561736954987,0,4.22561736954987
27,6,21,1,10,3.80855917134873,0,3.80855917134873
27,7,20,1,10,3.80855917134873,0,3.80855917134873
27,8,19,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
27,9,18,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
27,10,17,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
27,11,16,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
27,12,15,3,7,2.95103522464015,0.431371675175746,2.5196635494644
27,13,14,3,7,2.95103522464015,0.431371675175746,2.5196635494644
27,14,13,3,6,2.52505362865568,0.431371675175746,2.09368195347993
27,15,12,3,6,2.52505362865568,0.431371675175746,2.09368195347993
27,16,11,4,5,2.29878322414575,0.649172084018365,1.64961114012738
27,17,10,4,5,2.29878322414575,0.649172084018365,1.64961114012738
27,18,9,4,4,1.8969332307145,0.649172084018365,1.24776114669613
27,19,8,4,4,1.8969332307145,0.649172084018365,1.24776114669613
27,20,7,5,3,1.86373865733873,0.999551874271552,0.864186783067182
27,21,6,5,3,1.86373865733873,0.999551874271552,0.864186783067182
27,22,5,5,2,1.43429744101894,0.999551874271552,0.434745566747388
27,23,4,5,2,1.43429744101894,0.999551874271552,0.434745566747388
27,24,3,6,1,1.36832063848494,1.25587978604929,0.112440852435657
27,25,2,6,1,1.36832063848494,1.25587978604929,0.112440852435657
27,26,1,6,0,1.25587978604929,1.25587978604929,0
