kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
15,4,11,1,5,1.73728321424427,0,1.73728321424427
15,5,10,1,5,1.73728321424427,0,1.73728321424427
15,6,9,2,4,1.80304624935792,0.199781559051765,1.60326469030615
15,7,8,2,4,1.80304624935792,0.199781559051765,1.60326469030615
15,8,7,2,3,1.08529333503933,0.199781559051765,0.885511775987564
15,9,6,3,3,1.27602991808895,0.390518142101387,0.885511775987564
15,10,5,3,2,0.790088067112601,0.390518142101387,0.399569925011214
15,11,4,3,2,0.790088067112601,0.390518142101387,0.399569925011214
15,12,3,4,1,0.97433270336197,0.880246285248024,0.0940864181139464
15,13,2,4,1,0.97433270336197,0.880246285248024,0.0940864181139464
15,14,1,4,0,0.880246285248024,0.880246285248024,0
15,15,0,5,0,1.4295461226658,1.4295461226658,0
16,0,16,0,8,3.11308321401602,0,3.11308321401602
16,1,15,0,7,3.31479707207174,0,3.31479707207174
16,2,14,0,7,3.31479707207174,0,3.31479707207174
16,3,13,1,6,2.26589923697735,0,2.26589923697735
16,4,12,1,6,2.26589923697735,0,2.26589923697735
16,5,11,1,5,1.73728321424427,0,1.73728321424427
16,6,10,2,5,1.93706477329604,0.199781559051765,1.73728321424427
16,7,9,2,4,1.80304624935792,0.199781559051765,1.60326469030615
16,8,8,2,4,1.80304624935792,0.199781559051765,1.60326469030615
16,9,7,3,3,1.27602991808895,0.390518142101387,0.885511775987564
16,10,6,3,3,1.27602991808895,0.390518142101387,0.885511775987564
16,11,5,3,2,0.790088067112601,0.390518142101387,0.399569925011214
16,12,4,4,2,1.27981621025924,0.880246285248024,0.399569925011214
16,13,3,4,1,0.97433270336197,0.880246285248024,0.0940864181139464
16,14,2,4,1,0.97433270336197,0.880246285248024,0.0940864181139464
16,15,1,5,0,1.4295461226658,1.4295461226658,0
16,16,0,5,0,1.4295461226658,1.4295461226658,0
17,0,17,0,8,3.11308321401602,0,3.11308321401602
17,1,16,0,8,3.11308321401602,0,3.11308321401602
17,2,15,0,7,3.31479707207174,0,3.31479707207174
17,3,14,1,7,3.31479707207174,0,3.31479707207174
17,4,13,1,6,2.26589923697735,0,2.26589923697735
17,5,12,1,6,2.26589923697735,0,2.26589923697735
17,6,11,2,5,1.93706477329604,0.199781559051765,1.73728321424427
17,7,10,2,5,1.93706477329604,0.199781559051765,1.73728321424427
17,8,9,2,4,1.80304624935792,0.199781559051765,1.60326469030615
17,9,8,3,4,1.99378283240754,0.390518142101387,1.60326469030615
17,10,7,3,3,1.27602991808895,0.390518142101387,0.885511775987564
17,11,6,3,3,1.27602991808895,0.390518142101387,0.885511775987564
17,12,5,4,2,1.27981621025924,0.880246285248024,0.399569925011214
17,13,4,4,2,1.27981621025924,0.880246285248024,0.399569925011214
17,14,3,4,1,0.97433270336197,0.880246285248024,0.0940864181139464
17,15,2,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
17,16,1,5,0,1.4295461226658,1.4295461226658,0
17,17,0,5,0,1.4295461226658,1.4295461226658,0
18,0,18,0,9,3.69583056520104,0,3.69583056520104
18,1,17,0,8,3.11308321401602,0,3.11308321401602
18,2,16,0,8,3.11308321401602,0,3.11308321401602
18,3,15,1,7,3.31479707207174,0,3.31479707207174
18,4,14,1,7,3.31479707207174,0,3.31479707207174
18,5,13,1,6,2.26589923697735,0,2.26589923697735
18,6,12,2,6,2.46568079602911,0.199781559051765,2.26589923697735
18,7,11,2,5,1.93706477329604,0.199781559051765,1.73728321424427
18,8,10,2,5,1.93706477329604,0.199781559051765,1.73728321424427
18,9,9,3,4,1.99378283240754,0.390518142101387,1.60326469030615
18,10,8,3,4,1.99378283240754,0.390518142101387,1.60326469030615
18,11,7,3,3,1.27602991808895,0.390518142101387,0.885511775987564
18,12,6,4,3,1.76575806123559,0.880246285248024,0.885511775987564
18,13,5,4,2,1.27981621025924,0.880246285248024,0.399569925011214
18,14,4,4,2,1.27981621025924,0.880246285248024,0.399569925011214
18,15,3,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
18,16,2,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
18,17,1,5,0,1.4295461226658,1.4295461226658,0
18,18,0,6,0,1.61356788867586,1.61356788867586,0
19,0,19,0,9,3.69583056520104,0,3.69583056520104
19,1,18,0,9,3.69583056520104,0,3.69583056520104
19,2,17,0,8,3.11308321401602,0,3.11308321401602
19,3,16,1,8,3.11308321401602,0,3.11308321401602
19,4,15,1,7,3.31479707207174,0,3.31479707207174
19,5,14,1,7,3.31479707207174,0,3.31479707207174
19,6,13,2,6,2.46568079602911,0.199781559051765,2.26589923697735
19,7,12,2,6,2.46568079602911,0.199781559051765,2.26589923697735
19,8,11,2,5,1.93706477329604,0.199781559051765,1.73728321424427
19,9,10,3,5,2.12780135634566,0.390518142101387,1.73728321424427
19,10,9,3,4,1.99378283240754,0.390518142101387,1.60326469030615
19,11,8,3,4,1.99378283240754,0.390518142101387,1.60326469030615
19,12,7,4,3,1.76575806123559,0.880246285248024,0.885511775987564
19,13,6,4,3,1.76575806123559,0.880246285248024,0.885511775987564
19,14,5,4,2,1.27981621025924,0.880246285248024,0.399569925011214
19,15,4,5,2,1.82911604767701,1.4295461226658,0.399569925011214
19,16,3,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
19,17,2,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
19,18,1,6,0,1.61356788867586,1.61356788867586,0
19,19,0,6,0,1.61356788867586,1.61356788867586,0
20,0,20,0,10,4.01966600094635,0,4.01966600094635
20,1,19,0,9,3.69583056520104,0,3.69583056520104
20,2,18,0,9,3.69583056520104,0,3.69583056520104
20,3,17,1,8,3.11308321401602,0,3.11308321401602
20,4,16,1,8,3.11308321401602,0,3.11308321401602
20,5,15,1,7,3.31479707207174,0,3.31479707207174
20,6,14,2,7,3.51457863112351,0.199781559051765,3.31479707207174
20,7,13,2,6,2.46568079602911,0.199781559051765,2.26589923697735
20,8,12,2,6,2.46568079602911,0.199781559051765,2.26589923697735
20,9,11,3,5,2.12780135634566,0.390518142101387,1.73728321424427
20,10,10,3,5,2.12780135634566,0.390518142101387,1.73728321424427
20,11,9,3,4,1.99378283240754,0.390518142101387,1.60326469030615
20,12,8,4,4,2.48351097555418,0.880246285248024,1.60326469030615
20,13,7,4,3,1.76575806123559,0.880246285248024,0.885511775987564
20,14,6,4,3,1.76575806123559,0.880246285248024,0.885511775987564
20,15,5,5,2,1.82911604767701,1.4295461226658,0.399569925011214
20,16,4,5,2,1.82911604767701,1.4295461226658,0.399569925011214
20,17,3,5,1,1.52363254077974,1.4295461226658,0.0940864181139464
20,18,2,6,1,1.7076543067898,1.61356788867586,0.0940864181139464
20,19,1,6,0,1.61356788867586,1.61356788867586,0
20,20,0,6,0,1.61356788867586,1.61356788867586,0
21,0,21,0,10,4.01966600094635,0,4.01966600094635
