kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
15,10,5,2,2,0.641893648068063,0.206443105529449,0.435450542538613
15,11,4,2,2,0.641893648068063,0.206443105529449,0.435450542538613
15,12,3,3,1,0.550587406351134,0.43789182171698,0.112695584634154
15,13,2,3,1,0.550587406351134,0.43789182171698,0.112695584634154
15,14,1,3,0,0.43789182171698,0.43789182171698,0
15,15,0,3,0,0.43789182171698,0.43789182171698,0
16,0,16,0,8,2.93327486261793,0,2.93327486261793
16,1,15,0,7,2.5169374631892,0,2.5169374631892
16,2,14,0,7,2.5169374631892,0,2.5169374631892
16,3,13,0,6,2.09214255179672,0,2.09214255179672
16,4,12,1,6,2.09214255179672,0,2.09214255179672
16,5,11,1,5,1.65012807532488,0,1.65012807532488
16,6,10,1,5,1.65012807532488,0,1.65012807532488
16,7,9,1,4,1.24895295696122,0,1.24895295696122
16,8,8,2,4,1.45539606249067,0.206443105529449,1.24895295696122
16,9,7,2,3,1.07123363692098,0.206443105529449,0.864790531391527
16,10,6,2,3,1.07123363692098,0.206443105529449,0.864790531391527
16,11,5,2,2,0.641893648068063,0.206443105529449,0.435450542538613
16,12,4,3,2,0.873342364255594,0.43789182171698,0.435450542538613
16,13,3,3,1,0.550587406351134,0.43789182171698,0.112695584634154
16,14,2,3,1,0.550587406351134,0.43789182171698,0.112695584634154
16,15,1,3,0,0.43789182171698,0.43789182171698,0
16,16,0,4,0,0.794415766964887,0.794415766964887,0
17,0,17,0,8,2.93327486261793,0,2.93327486261793
17,1,16,0,8,2.93327486261793,0,2.93327486261793
17,2,15,0,7,2.5169374631892,0,2.5169374631892
17,3,14,0,7,2.5169374631892,0,2.5169374631892
17,4,13,1,6,2.09214255179672,0,2.09214255179672
17,5,12,1,6,2.09214255179672,0,2.09214255179672
17,6,11,1,5,1.65012807532488,0,1.65012807532488
17,7,10,1,5,1.65012807532488,0,1.65012807532488
17,8,9,2,4,1.45539606249067,0.206443105529449,1.24895295696122
17,9,8,2,4,1.45539606249067,0.206443105529449,1.24895295696122
17,10,7,2,3,1.07123363692098,0.206443105529449,0.864790531391527
17,11,6,2,3,1.07123363692098,0.206443105529449,0.864790531391527
17,12,5,3,2,0.873342364255594,0.43789182171698,0.435450542538613
17,13,4,3,2,0.873342364255594,0.43789182171698,0.435450542538613
17,14,3,3,1,0.550587406351134,0.43789182171698,0.112695584634154
17,15,2,3,1,0.550587406351134,0.43789182171698,0.112695584634154
17,16,1,4,0,0.794415766964887,0.794415766964887,0
17,17,0,4,0,0.794415766964887,0.794415766964887,0
18,0,18,0,9,3.3640151617856,0,3.3640151617856
18,1,17,0,8,2.93327486261793,0,2.93327486261793
18,2,16,0,8,2.93327486261793,0,2.93327486261793
18,3,15,0,7,2.5169374631892,0,2.5169374631892
18,4,14,1,7,2.5169374631892,0,2.5169374631892
18,5,13,1,6,2.09214255179672,0,2.09214255179672
18,6,12,1,6,2.09214255179672,0,2.09214255179672
18,7,11,1,5,1.65012807532488,0,1.65012807532488
18,8,10,2,5,1.85657118085433,0.206443105529449,1.65012807532488
18,9,9,2,4,1.45539606249067,0.206443105529449,1.24895295696122
18,10,8,2,4,1.45539606249067,0.206443105529449,1.24895295696122
18,11,7,2,3,1.07123363692098,0.206443105529449,0.864790531391527
18,12,6,3,3,1.30268235310851,0.43789182171698,0.864790531391527
18,13,5,3,2,0.873342364255594,0.43789182171698,0.435450542538613
18,14,4,3,2,0.873342364255594,0.43789182171698,0.435450542538613
18,15,3,3,1,0.550587406351134,0.43789182171698,0.112695584634154
18,16,2,4,1,0.907111351599041,0.794415766964887,0.112695584634154
18,17,1,4,0,0.794415766964887,0.794415766964887,0
18,18,0,4,0,0.794415766964887,0.794415766964887,0
19,0,19,0,9,3.3640151617856,0,3.3640151617856
19,1,18,0,9,3.3640151617856,0,3.3640151617856
19,2,17,0,8,2.93327486261793,0,2.93327486261793
19,3,16,0,8,2.93327486261793,0,2.93327486261793
19,4,15,1,7,2.5169374631892,0,2.5169374631892
19,5,14,1,7,2.5169374631892,0,2.5169374631892
19,6,13,1,6,2.09214255179672,0,2.09214255179672
19,7,12,1,6,2.09214255179672,0,2.09214255179672
19,8,11,2,5,1.85657118085433,0.206443105529449,1.65012807532488
19,9,10,2,5,1.85657118085433,0.206443105529449,1.65012807532488
19,10,9,2,4,1.45539606249067,0.206443105529449,1.24895295696122
19,11,8,2,4,1.45539606249067,0.206443105529449,1.24895295696122
19,12,7,3,3,1.30268235310851,0.43789182171698,0.864790531391527
19,13,6,3,3,1.30268235310851,0.43789182171698,0.864790531391527
19,14,5,3,2,0.873342364255594,0.43789182171698,0.435450542538613
19,15,4,3,2,0.873342364255594,0.43789182171698,0.435450542538613
19,16,3,4,1,0.907111351599041,0.794415766964887,0.112695584634154
19,17,2,4,1,0.907111351599041,0.794415766964887,0.112695584634154
19,18,1,4,0,0.794415766964887,0.794415766964887,0
19,19,0,4,0,0.794415766964887,0.794415766964887,0
20,0,20,0,10,3.80758596421078,0,3.80758596421078
20,1,19,0,9,3.3640151617856,0,3.3640151617856
20,2,18,0,9,3.3640151617856,0,3.3640151617856
20,3,17,0,8,2.93327486261793,0,2.93327486261793
20,4,16,1,8,2.93327486261793,0,2.93327486261793
20,5,15,1,7,2.5169374631892,0,2.5169374631892
20,6,14,1,7,2.5169374631892,0,2.5169374631892
20,7,13,1,6,2.09214255179672,0,2.09214255179672
20,8,12,2,6,2.29858565732617,0.206443105529449,2.09214255179672
20,9,11,2,5,1.85657118085433,0.206443105529449,1.65012807532488
20,10,10,2,5,1.85657118085433,0.206443105529449,1.65012807532488
