kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
25,7,18,1,9,3.36370164345383,0,3.36370164345383
25,8,17,2,8,3.13697555299836,0.202365919094748,2.93460963390361
25,9,16,2,8,3.13697555299836,0.202365919094748,2.93460963390361
25,10,15,2,7,2.71970950080367,0.202365919094748,2.51734358170893
25,11,14,2,7,2.71970950080367,0.202365919094748,2.51734358170893
25,12,13,3,6,2.51819631560117,0.425397741774994,2.09279857382617
25,13,12,3,6,2.51819631560117,0.425397741774994,2.09279857382617
25,14,11,3,5,2.07492828619924,0.425397741774994,1.64953054442425
25,15,10,3,5,2.07492828619924,0.425397741774994,1.64953054442425
25,16,9,4,4,2.0225767622701,0.774853100591544,1.24772366167855
25,17,8,4,4,2.0225767622701,0.774853100591544,1.24772366167855
25,18,7,4,3,1.63926328297847,0.774853100591544,0.864410182386921
25,19,6,4,3,1.63926328297847,0.774853100591544,0.864410182386921
25,20,5,5,2,1.457928923901,1.02212331883017,0.435805605070834
25,21,4,5,2,1.457928923901,1.02212331883017,0.435805605070834
25,22,3,5,1,1.13539095726328,1.02212331883017,0.113267638433117
25,23,2,5,1,1.13539095726328,1.02212331883017,0.113267638433117
25,24,1,6,0,1.37721005364826,1.37721005364826,0
25,25,0,6,0,1.37721005364826,1.37721005364826,0
26,0,26,0,13,5.0901523903887,0,5.0901523903887
26,1,25,0,12,4.65318037430599,0,4.65318037430599
26,2,24,0,12,4.65318037430599,0,4.65318037430599
26,3,23,0,11,4.22455616248623,0,4.22455616248623
26,4,22,1,11,4.22455616248623,0,4.22455616248623
26,5,21,1,10,3.80800390341741,0,3.80800390341741
26,6,20,1,10,3.80800390341741,0,3.80800390341741
26,7,19,1,9,3.36370164345383,0,3.36370164345383
26,8,18,2,9,3.56606756254858,0.202365919094748,3.36370164345383
26,9,17,2,8,3.13697555299836,0.202365919094748,2.93460963390361
26,10,16,2,8,3.13697555299836,0.202365919094748,2.93460963390361
26,11,15,2,7,2.71970950080367,0.202365919094748,2.51734358170893
