kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
15,6,9,2,4,1.66153577290073,0.412960517107589,1.24857525579314
15,7,8,2,4,1.66153577290073,0.412960517107589,1.24857525579314
15,8,7,2,3,1.27615912308075,0.412960517107589,0.863198605973166
15,9,6,3,3,1.59318317472881,0.729984568755643,0.863198605973166
15,10,5,3,2,1.16572999316602,0.729984568755643,0.435745424410378
15,11,4,3,2,1.16572999316602,0.729984568755643,0.435745424410378
15,12,3,4,1,1.24622742069187,1.13310165722302,0.113125763468843
15,13,2,4,1,1.24622742069187,1.13310165722302,0.113125763468843
15,14,1,4,0,1.13310165722302,1.13310165722302,0
15,15,0,5,0,1.53838339777949,1.53838339777949,0
16,0,16,0,8,2.93493889250537,0,2.93493889250537
16,1,15,0,7,2.51879985387614,0,2.51879985387614
16,2,14,0,7,2.51879985387614,0,2.51879985387614
16,3,13,1,6,2.09233464067478,0,2.09233464067478
16,4,12,1,6,2.09233464067478,0,2.09233464067478
16,5,11,1,5,1.65016088744874,0,1.65016088744874
16,6,10,2,5,2.06312140455633,0.412960517107589,1.65016088744874
16,7,9,2,4,1.66153577290073,0.412960517107589,1.24857525579314
16,8,8,2,4,1.66153577290073,0.412960517107589,1.24857525579314
16,9,7,3,3,1.59318317472881,0.729984568755643,0.863198605973166
16,10,6,3,3,1.59318317472881,0.729984568755643,0.863198605973166
16,11,5,3,2,1.16572999316602,0.729984568755643,0.435745424410378
16,12,4,4,2,1.5688470816334,1.13310165722302,0.435745424410378
16,13,3,4,1,1.24622742069187,1.13310165722302,0.113125763468843
16,14,2,4,1,1.24622742069187,1.13310165722302,0.113125763468843
16,15,1,5,0,1.53838339777949,1.53838339777949,0
16,16,0,5,0,1.53838339777949,1.53838339777949,0
17,0,17,0,8,2.93493889250537,0,2.93493889250537
17,1,16,0,8,2.93493889250537,0,2.93493889250537
17,2,15,0,7,2.51879985387614,0,2.51879985387614
17,3,14,1,7,2.51879985387614,0,2.51879985387614
17,4,13,1,6,2.09233464067478,0,2.09233464067478
17,5,12,1,6,2.09233464067478,0,2.09233464067478
17,6,11,2,5,2.06312140455633,0.412960517107589,1.65016088744874
